,Title,Authors,Cited by,Year
0,Expanding from discrete cartesian to permutation gene-pool optimal mixing evolutionary algorithms,"PAN Bosman, NH Luong, D Thierens",33,2016
1,Application and benchmarking of multi-objective evolutionary algorithms on high-dose-rate brachytherapy planning for prostate cancer treatment,"NH Luong, T Alderliesten, A Bel, Y Niatsetski, PAN Bosman",32,2017
2,Evaluation of bi-objective treatment planning for high-dose-rate prostate brachytherapy—A retrospective observer study,"SC Maree, NH Luong, ES Kooreman, N van Wieringen, A Bel, KA Hinnen, ...",28,2019
3,Multi-objective gene-pool optimal mixing evolutionary algorithms,"NH Luong, H La Poutré, PAN Bosman",28,2014
4,Elitist archiving for multi-objective evolutionary algorithms: To adapt or not to adapt,"HN Luong, PAN Bosman",28,2012
5,Multi-objective optimization techniques and applications in electric power systems,"MOW Grond, NH Luong, J Morren, JG Slootweg",27,2012
6,Fine-tuning bert for sentiment analysis of vietnamese reviews,"QT Nguyen, TL Nguyen, NH Luong, QH Ngo",26,2020
7,Multi-objective gene-pool optimal mixing evolutionary algorithm with the interleaved multi-start scheme,"NH Luong, H La Poutré, PAN Bosman",24,2018
8,The multi-objective real-valued gene-pool optimal mixing evolutionary algorithm,"A Bouter, NH Luong, C Witteveen, T Alderliesten, PAN Bosman",23,2017
9,Practice-oriented optimization of distribution network planning using metaheuristic algorithms,"MOW Grond, HN Luong, J Morren, PAN Bosman, HJG Slootweg, ...",20,2014
10,Entropy-based efficiency enhancement techniques for evolutionary algorithms,"HN Luong, HTT Nguyen, CW Ahn",19,2012
11,Exploiting linkage information and problem-specific knowledge in evolutionary distribution network expansion planning,"NH Luong, H La Poutré, PAN Bosman",17,2015
12,"Exploring trade-offs between target coverage, healthy tissue sparing, and the placement of catheters in HDR brachytherapy for prostate cancer using a novel multi-objective …","KL Sadowski, MC van der Meer, NH Luong, T Alderliesten, D Thierens, ...",12,2017
13,Scalable and practical multi-objective distribution network expansion planning,"NH Luong, MOW Grond, H La Poutré, PAN Bosman",11,2015
14,Medium-voltage distribution network expansion planning with gene-pool optimal mixing evolutionary algorithms,"HN Luong, MOW Grond, PAN Bosman, HL Poutré",10,2014
15,Fast and insightful bi-objective optimization for prostate cancer treatment planning with high-dose-rate brachytherapy,"NH Luong, T Alderliesten, BR Pieters, A Bel, Y Niatsetski, PAN Bosman",9,2019
